CSV FILE FOR ETHERNET INTERFACE STATUS, , , , , ,
INTERFACE_STATUS(OFFLINE/ONLINE),SECOND,MINUTE,HOUR,DAY,MONTH,YEAR
ONLINE,36,48,20,16,08,2018
ONLINE,19,19,21,16,08,2018
ONLINE,04,26,21,16,08,2018
ONLINE,03,27,21,16,08,2018
ONLINE,03,28,21,16,08,2018
ONLINE,03,29,21,16,08,2018
ONLINE,03,30,21,16,08,2018
ONLINE,03,31,21,16,08,2018
ONLINE,03,32,21,16,08,2018
ONLINE,04,33,21,16,08,2018
ONLINE,03,34,21,16,08,2018
ONLINE,03,35,21,16,08,2018
ONLINE,03,36,21,16,08,2018
ONLINE,03,37,21,16,08,2018
ONLINE,03,38,21,16,08,2018
ONLINE,03,39,21,16,08,2018
ONLINE,03,40,21,16,08,2018
ONLINE,03,41,21,16,08,2018
ONLINE,03,42,21,16,08,2018
ONLINE,03,43,21,16,08,2018
ONLINE,03,44,21,16,08,2018
ONLINE,03,45,21,16,08,2018
ONLINE,03,46,21,16,08,2018
ONLINE,03,47,21,16,08,2018
ONLINE,03,48,21,16,08,2018
ONLINE,03,49,21,16,08,2018
ONLINE,03,50,21,16,08,2018
ONLINE,03,51,21,16,08,2018
ONLINE,03,52,21,16,08,2018
ONLINE,03,53,21,16,08,2018
ONLINE,03,54,21,16,08,2018
ONLINE,03,55,21,16,08,2018
ONLINE,03,56,21,16,08,2018
ONLINE,03,57,21,16,08,2018
ONLINE,03,58,21,16,08,2018
ONLINE,03,59,21,16,08,2018
ONLINE,03,00,22,16,08,2018
ONLINE,03,01,22,16,08,2018
ONLINE,03,02,22,16,08,2018
ONLINE,03,03,22,16,08,2018
ONLINE,03,04,22,16,08,2018
ONLINE,03,05,22,16,08,2018
ONLINE,03,06,22,16,08,2018
ONLINE,03,07,22,16,08,2018
ONLINE,03,08,22,16,08,2018
ONLINE,03,09,22,16,08,2018
ONLINE,03,10,22,16,08,2018
ONLINE,03,10,22,16,08,2018
ONLINE,03,11,22,16,08,2018
ONLINE,03,11,22,16,08,2018
ONLINE,03,12,22,16,08,2018
ONLINE,03,12,22,16,08,2018
ONLINE,03,17,22,16,08,2018
ONLINE,04,17,22,16,08,2018
ONLINE,03,18,22,16,08,2018
ONLINE,03,18,22,16,08,2018
ONLINE,17,19,22,16,08,2018
ONLINE,03,20,22,16,08,2018
