CSV FILE FOR WIFI INTERFACE STATUS, , , , , ,
INTERFACE_STATUS(OFFLINE/ONLINE),SECOND,MINUTE,HOUR,DAY,MONTH,YEAR
OFFLINE,09,40,23,14,08,2018
ONLINE,09,42,23,14,08,2018
OFFLINE,06,43,23,14,08,2018
OFFLINE,06,44,23,14,08,2018
OFFLINE,06,45,23,14,08,2018
OFFLINE,06,50,21,15,08,2018
OFFLINE,06,51,21,15,08,2018
OFFLINE,06,52,21,15,08,2018
OFFLINE,06,53,21,15,08,2018
OFFLINE,06,55,21,15,08,2018
OFFLINE,06,56,21,15,08,2018
OFFLINE,06,57,21,15,08,2018
OFFLINE,06,58,21,15,08,2018
OFFLINE,06,59,21,15,08,2018
OFFLINE,06,00,22,15,08,2018
OFFLINE,06,01,22,15,08,2018
OFFLINE,40,02,22,15,08,2018
OFFLINE,16,03,22,15,08,2018
OFFLINE,51,04,22,15,08,2018
ONLINE,12,07,22,15,08,2018
