CSV FILE FOR WIFI INTERFACE STATUS, , , , ,
INTERFACE_STATUS(OFFLINE/ONLINE),SECOND,MINUTE,HOUR,DAY,YEAR
ONLINE,01,00,02,21,07,2018
ONLINE,02,01,02,21,07,2018
ONLINE,02,02,02,21,07,2018
ONLINE,01,03,02,21,07,2018
ONLINE,01,04,02,21,07,2018
ONLINE,02,05,02,21,07,2018
ONLINE,01,06,02,21,07,2018
ONLINE,02,07,02,21,07,2018
ONLINE,02,08,02,21,07,2018
ONLINE,01,09,02,21,07,2018
ONLINE,02,10,02,21,07,2018
ONLINE,01,11,02,21,07,2018
ONLINE,02,12,02,21,07,2018
ONLINE,02,13,02,21,07,2018
ONLINE,01,14,02,21,07,2018
ONLINE,02,15,02,21,07,2018
ONLINE,02,16,02,21,07,2018
ONLINE,01,17,02,21,07,2018
ONLINE,02,18,02,21,07,2018
ONLINE,02,19,02,21,07,2018
ONLINE,01,20,02,21,07,2018
ONLINE,02,21,02,21,07,2018
ONLINE,02,22,02,21,07,2018
ONLINE,01,23,02,21,07,2018
ONLINE,02,24,02,21,07,2018
ONLINE,01,25,02,21,07,2018
ONLINE,02,26,02,21,07,2018
ONLINE,02,27,02,21,07,2018
ONLINE,01,28,02,21,07,2018
ONLINE,02,29,02,21,07,2018
ONLINE,01,30,02,21,07,2018
ONLINE,01,31,02,21,07,2018
ONLINE,02,32,02,21,07,2018
ONLINE,01,33,02,21,07,2018
ONLINE,02,34,02,21,07,2018
ONLINE,01,35,02,21,07,2018
ONLINE,01,36,02,21,07,2018
ONLINE,02,37,02,21,07,2018
ONLINE,01,38,02,21,07,2018
ONLINE,02,39,02,21,07,2018
ONLINE,02,40,02,21,07,2018
ONLINE,01,41,02,21,07,2018
ONLINE,02,42,02,21,07,2018
ONLINE,01,43,02,21,07,2018
ONLINE,02,44,02,21,07,2018
ONLINE,02,45,02,21,07,2018
ONLINE,01,46,02,21,07,2018
ONLINE,02,47,02,21,07,2018
ONLINE,02,48,02,21,07,2018
ONLINE,01,49,02,21,07,2018
ONLINE,02,50,02,21,07,2018
ONLINE,02,51,02,21,07,2018
ONLINE,01,52,02,21,07,2018
ONLINE,02,53,02,21,07,2018
ONLINE,01,54,02,21,07,2018
ONLINE,01,55,02,21,07,2018
ONLINE,02,56,02,21,07,2018
ONLINE,01,57,02,21,07,2018
ONLINE,02,58,02,21,07,2018
ONLINE,02,59,02,21,07,2018
ONLINE,01,00,03,21,07,2018
ONLINE,02,01,03,21,07,2018
ONLINE,01,02,03,21,07,2018
ONLINE,02,03,03,21,07,2018
ONLINE,02,04,03,21,07,2018
ONLINE,01,05,03,21,07,2018
ONLINE,02,06,03,21,07,2018
ONLINE,01,07,03,21,07,2018
ONLINE,02,08,03,21,07,2018
ONLINE,01,09,03,21,07,2018
ONLINE,02,10,03,21,07,2018
ONLINE,02,11,03,21,07,2018
ONLINE,01,12,03,21,07,2018
ONLINE,02,13,03,21,07,2018
ONLINE,01,14,03,21,07,2018
ONLINE,02,15,03,21,07,2018
ONLINE,01,16,03,21,07,2018
ONLINE,02,17,03,21,07,2018
ONLINE,01,18,03,21,07,2018
ONLINE,02,19,03,21,07,2018
ONLINE,02,20,03,21,07,2018
ONLINE,01,21,03,21,07,2018
ONLINE,02,22,03,21,07,2018
ONLINE,01,23,03,21,07,2018
ONLINE,02,24,03,21,07,2018
ONLINE,02,25,03,21,07,2018
ONLINE,01,26,03,21,07,2018
ONLINE,02,27,03,21,07,2018
ONLINE,01,28,03,21,07,2018
ONLINE,02,29,03,21,07,2018
ONLINE,02,30,03,21,07,2018
ONLINE,01,31,03,21,07,2018
ONLINE,02,32,03,21,07,2018
ONLINE,01,33,03,21,07,2018
ONLINE,02,34,03,21,07,2018
ONLINE,02,35,03,21,07,2018
ONLINE,01,36,03,21,07,2018
ONLINE,02,37,03,21,07,2018
ONLINE,02,38,03,21,07,2018
ONLINE,01,39,03,21,07,2018
ONLINE,02,40,03,21,07,2018
ONLINE,01,41,03,21,07,2018
ONLINE,02,42,03,21,07,2018
ONLINE,01,43,03,21,07,2018
ONLINE,01,44,03,21,07,2018
ONLINE,02,45,03,21,07,2018
ONLINE,01,46,03,21,07,2018
ONLINE,02,47,03,21,07,2018
ONLINE,46,47,03,21,07,2018
ONLINE,01,48,03,21,07,2018
ONLINE,02,49,03,21,07,2018
ONLINE,01,50,03,21,07,2018
ONLINE,02,51,03,21,07,2018
ONLINE,02,52,03,21,07,2018
ONLINE,01,53,03,21,07,2018
ONLINE,02,54,03,21,07,2018
ONLINE,01,55,03,21,07,2018
ONLINE,02,17,04,21,07,2018
ONLINE,01,18,04,21,07,2018
ONLINE,02,19,04,21,07,2018
ONLINE,01,20,04,21,07,2018
ONLINE,02,21,04,21,07,2018
ONLINE,02,22,04,21,07,2018
ONLINE,01,23,04,21,07,2018
ONLINE,02,24,04,21,07,2018
ONLINE,01,25,04,21,07,2018
ONLINE,02,26,04,21,07,2018
ONLINE,01,27,04,21,07,2018
ONLINE,01,28,04,21,07,2018
ONLINE,02,29,04,21,07,2018
ONLINE,01,30,04,21,07,2018
ONLINE,02,31,04,21,07,2018
ONLINE,01,32,04,21,07,2018
ONLINE,02,33,04,21,07,2018
ONLINE,01,34,04,21,07,2018
ONLINE,01,35,04,21,07,2018
ONLINE,02,36,04,21,07,2018
ONLINE,01,37,04,21,07,2018
ONLINE,02,38,04,21,07,2018
ONLINE,01,39,04,21,07,2018
ONLINE,02,40,04,21,07,2018
ONLINE,01,41,04,21,07,2018
ONLINE,02,42,04,21,07,2018
ONLINE,01,43,04,21,07,2018
ONLINE,01,44,04,21,07,2018
ONLINE,02,45,04,21,07,2018
ONLINE,01,46,04,21,07,2018
ONLINE,02,47,04,21,07,2018
ONLINE,01,48,04,21,07,2018
ONLINE,01,49,04,21,07,2018
ONLINE,02,50,04,21,07,2018
ONLINE,01,51,04,21,07,2018
ONLINE,02,52,04,21,07,2018
ONLINE,02,53,04,21,07,2018
ONLINE,01,54,04,21,07,2018
ONLINE,02,55,04,21,07,2018
ONLINE,02,56,04,21,07,2018
ONLINE,01,57,04,21,07,2018
ONLINE,02,58,04,21,07,2018
ONLINE,01,59,04,21,07,2018
ONLINE,02,00,05,21,07,2018
ONLINE,02,01,05,21,07,2018
ONLINE,01,02,05,21,07,2018
ONLINE,02,03,05,21,07,2018
ONLINE,02,04,05,21,07,2018
ONLINE,01,05,05,21,07,2018
ONLINE,02,06,05,21,07,2018
ONLINE,01,07,05,21,07,2018
ONLINE,02,08,05,21,07,2018
ONLINE,02,09,05,21,07,2018
ONLINE,01,10,05,21,07,2018
ONLINE,02,11,05,21,07,2018
ONLINE,02,12,05,21,07,2018
ONLINE,01,13,05,21,07,2018
ONLINE,02,14,05,21,07,2018
ONLINE,01,15,05,21,07,2018
ONLINE,02,16,05,21,07,2018
ONLINE,02,17,05,21,07,2018
ONLINE,01,18,05,21,07,2018
ONLINE,02,19,05,21,07,2018
ONLINE,01,20,05,21,07,2018
ONLINE,01,21,05,21,07,2018
ONLINE,02,22,05,21,07,2018
ONLINE,01,23,05,21,07,2018
ONLINE,02,24,05,21,07,2018
ONLINE,02,25,05,21,07,2018
ONLINE,01,26,05,21,07,2018
ONLINE,02,27,05,21,07,2018
ONLINE,01,28,05,21,07,2018
ONLINE,01,29,05,21,07,2018
ONLINE,02,30,05,21,07,2018
ONLINE,01,31,05,21,07,2018
ONLINE,02,32,05,21,07,2018
ONLINE,01,33,05,21,07,2018
ONLINE,01,34,05,21,07,2018
ONLINE,02,35,05,21,07,2018
ONLINE,01,36,05,21,07,2018
ONLINE,02,37,05,21,07,2018
ONLINE,02,38,05,21,07,2018
ONLINE,01,39,05,21,07,2018
ONLINE,02,40,05,21,07,2018
ONLINE,01,41,05,21,07,2018
ONLINE,01,42,05,21,07,2018
ONLINE,02,43,05,21,07,2018
ONLINE,01,44,05,21,07,2018
ONLINE,02,45,05,21,07,2018
ONLINE,02,46,05,21,07,2018
ONLINE,01,47,05,21,07,2018
ONLINE,02,48,05,21,07,2018
ONLINE,01,49,05,21,07,2018
ONLINE,02,50,05,21,07,2018
ONLINE,02,51,05,21,07,2018
ONLINE,01,52,05,21,07,2018
ONLINE,02,53,05,21,07,2018
ONLINE,01,54,05,21,07,2018
ONLINE,01,55,05,21,07,2018
ONLINE,02,56,05,21,07,2018
ONLINE,01,57,05,21,07,2018
ONLINE,02,58,05,21,07,2018
ONLINE,02,59,05,21,07,2018
ONLINE,01,00,06,21,07,2018
ONLINE,02,01,06,21,07,2018
ONLINE,01,02,06,21,07,2018
ONLINE,01,03,06,21,07,2018
ONLINE,02,04,06,21,07,2018
ONLINE,01,05,06,21,07,2018
ONLINE,02,06,06,21,07,2018
ONLINE,02,07,06,21,07,2018
ONLINE,01,08,06,21,07,2018
ONLINE,02,09,06,21,07,2018
ONLINE,01,10,06,21,07,2018
ONLINE,02,11,06,21,07,2018
ONLINE,02,12,06,21,07,2018
ONLINE,01,13,06,21,07,2018
ONLINE,02,14,06,21,07,2018
ONLINE,01,15,06,21,07,2018
ONLINE,01,16,06,21,07,2018
ONLINE,02,17,06,21,07,2018
ONLINE,01,18,06,21,07,2018
ONLINE,02,19,06,21,07,2018
ONLINE,02,20,06,21,07,2018
ONLINE,01,21,06,21,07,2018
ONLINE,02,22,06,21,07,2018
ONLINE,01,23,06,21,07,2018
ONLINE,02,24,06,21,07,2018
ONLINE,02,25,06,21,07,2018
ONLINE,01,26,06,21,07,2018
ONLINE,02,27,06,21,07,2018
ONLINE,01,28,06,21,07,2018
ONLINE,01,29,06,21,07,2018
ONLINE,02,30,06,21,07,2018
ONLINE,01,31,06,21,07,2018
ONLINE,02,32,06,21,07,2018
ONLINE,01,33,06,21,07,2018
ONLINE,02,34,06,21,07,2018
ONLINE,02,35,06,21,07,2018
ONLINE,01,36,06,21,07,2018
